Prior disorder,Later disorder,Model,Time,HR,Lower,Upper
Bipolar disorder,Binge eating disorder,B,5,,,
Bipolar disorder,Binge eating disorder,B,6,,,
Bipolar disorder,IED,B,1,,,
Bipolar disorder,IED,B,2,,,
Bipolar disorder,IED,B,3,,,
Bipolar disorder,IED,B,4,,,
Bipolar disorder,IED,B,5,,,
Bipolar disorder,IED,B,6,,,
Bipolar disorder,ADHD,B,1,,,
Bipolar disorder,ADHD,B,2,,,
Bipolar disorder,ADHD,B,3,,,
Bipolar disorder,ADHD,B,4,,,
Bipolar disorder,ADHD,B,5,,,
Bipolar disorder,ADHD,B,6,,,
Bipolar disorder,Conduct disorder,B,1,,,
Bipolar disorder,Conduct disorder,B,2,,,
Bipolar disorder,Conduct disorder,B,3,,,
Bipolar disorder,Conduct disorder,B,4,,,
Bipolar disorder,Conduct disorder,B,5,,,
Bipolar disorder,Conduct disorder,B,6,,,
Bipolar disorder,ODD,B,1,,,
Bipolar disorder,ODD,B,2,,,
Bipolar disorder,ODD,B,3,,,
Bipolar disorder,ODD,B,4,,,
Bipolar disorder,ODD,B,5,,,
Bipolar disorder,ODD,B,6,,,
Bipolar disorder,Nicotine dependence,B,1,,,
Bipolar disorder,Nicotine dependence,B,2,,,
Bipolar disorder,Nicotine dependence,B,3,3.9,2.7,5.8
Bipolar disorder,Nicotine dependence,B,4,1.9,1.3,2.9
Bipolar disorder,Nicotine dependence,B,5,,,
Bipolar disorder,Nicotine dependence,B,6,,,
Bipolar disorder,Alcohol abuse,B,1,31.5,24.4,40.7
Bipolar disorder,Alcohol abuse,B,2,13.4,10.3,17.3
Bipolar disorder,Alcohol abuse,B,3,5.6,4.3,7.4
Bipolar disorder,Alcohol abuse,B,4,2.9,2.2,3.8
Bipolar disorder,Alcohol abuse,B,5,2.4,1.7,3.3
Bipolar disorder,Alcohol abuse,B,6,,,
Bipolar disorder,Alcohol dependence,B,1,,,
Bipolar disorder,Alcohol dependence,B,2,,,
Bipolar disorder,Alcohol dependence,B,3,4,2.5,6.4
Bipolar disorder,Alcohol dependence,B,4,2.5,1.5,4.2
Bipolar disorder,Alcohol dependence,B,5,,,
Bipolar disorder,Alcohol dependence,B,6,,,
Bipolar disorder,Drug abuse,B,1,12.7,8.2,19.6
Bipolar disorder,Drug abuse,B,2,,,
Bipolar disorder,Drug abuse,B,3,2.4,1.5,3.9
Bipolar disorder,Drug abuse,B,4,1.5,0.9,2.5
Bipolar disorder,Drug abuse,B,5,,,
Bipolar disorder,Drug abuse,B,6,,,
Bipolar disorder,Drug dependence,B,1,,,
Bipolar disorder,Drug dependence,B,2,,,
Bipolar disorder,Drug dependence,B,3,,,
Bipolar disorder,Drug dependence,B,4,,,
Bipolar disorder,Drug dependence,B,5,,,
Bipolar disorder,Drug dependence,B,6,,,
Dysthymia,MDE,A,1,252.1,227.6,279.2
Dysthymia,MDE,A,2,,,
Dysthymia,MDE,A,3,30.9,28.3,33.6
Dysthymia,MDE,A,4,15.5,14.2,17
Dysthymia,MDE,A,5,,,
Dysthymia,MDE,A,6,7.3,6.1,8.6
Dysthymia,Bipolar disorder,A,1,,,
Dysthymia,Bipolar disorder,A,2,,,
Dysthymia,Bipolar disorder,A,3,21.9,18.7,25.6
Dysthymia,Bipolar disorder,A,4,12.3,9.9,15.3
Dysthymia,Bipolar disorder,A,5,9.8,7.4,13.1
Dysthymia,Bipolar disorder,A,6,,,
Dysthymia,Panic disorder,A,1,,,
Dysthymia,Panic disorder,A,2,,,
Dysthymia,Panic disorder,A,3,,,
Dysthymia,Panic disorder,A,4,,,
Dysthymia,Panic disorder,A,5,,,
Dysthymia,Panic disorder,A,6,,,
Dysthymia,GAD,A,1,199.7,179.4,222.3
Dysthymia,GAD,A,2,,,
Dysthymia,GAD,A,3,32.9,29.6,36.6
Dysthymia,GAD,A,4,16.5,14.8,18.5
Dysthymia,GAD,A,5,10.8,9.3,12.6
Dysthymia,GAD,A,6,8.7,7.1,10.6
Dysthymia,Social phobia,A,1,,,
Dysthymia,Social phobia,A,2,,,
Dysthymia,Social phobia,A,3,19.9,17.8,22.1
Dysthymia,Social phobia,A,4,,,
Dysthymia,Social phobia,A,5,,,
Dysthymia,Social phobia,A,6,,,
Dysthymia,Specific phobia,A,1,,,
Dysthymia,Specific phobia,A,2,,,
Dysthymia,Specific phobia,A,3,,,
