prior disorder,later disorder,tso,failure,stderr,newf,newf_low,newf_high,model
AGO,Bipolar disorder,10,0.0974,0.000845,10.17449185,9.992123289,10.3568604,All
AGO,Bipolar disorder,11,0.1014,0.000864,10.62546085,10.43814299,10.81277871,All
AGO,Bipolar disorder,12,0.1075,0.000893,11.29889882,11.10408223,11.4937154,All
AGO,Bipolar disorder,13,0.1087,0.000898,11.43039277,11.23408646,11.62669908,All
AGO,Bipolar disorder,14,0.1176,0.00094,12.42851606,12.22086338,12.63616874,All
AGO,Bipolar disorder,15,0.1254,0.000977,13.31115054,13.0935849,13.52871618,All
AGO,Bipolar disorder,16,0.1329,0.00101,14.17638288,13.94919472,14.40357104,All
AGO,Bipolar disorder,17,0.1428,0.00106,15.31548949,15.07559649,15.55538249,All
AGO,Bipolar disorder,18,0.1455,0.00107,15.63497831,15.39144791,15.87850871,All
AGO,Bipolar disorder,19,0.1478,0.00108,15.89465975,15.64805643,16.14126306,All
AGO,Bipolar disorder,20,0.1526,0.0011,16.4686572,16.2151946,16.72211979,All
AGO,Bipolar disorder,21,0.1573,0.00112,17.02168996,16.76151916,17.28186076,All
AGO,Bipolar disorder,22,0.1626,0.00115,17.65131133,17.3832844,17.91933825,All
AGO,Bipolar disorder,25,0.166,0.00117,18.049135,17.77560482,18.32266517,All
AGO,Bipolar disorder,26,0.1706,0.0012,18.60566692,18.32407879,18.88725506,All
AGO,Bipolar disorder,27,0.1729,0.00121,18.88018706,18.59451603,19.1658581,All
AGO,Bipolar disorder,28,0.176,0.00123,19.25658421,18.96516254,19.54800587,All
AGO,Bipolar disorder,29,0.1792,0.00125,19.64819794,19.35067654,19.94571934,All
AGO,Bipolar disorder,35,0.1826,0.00128,20.0605124,19.75398124,20.36704356,All
AGO,Bipolar disorder,36,0.1852,0.00131,20.37388922,20.06028414,20.6874943,All
AGO,Bipolar disorder,39,0.1896,0.00136,20.91480703,20.58706805,21.24254601,All
AGO,Bipolar disorder,41,0.1988,0.00148,22.04988664,21.68959656,22.41017673,All
AGO,Bipolar disorder,42,0.2065,0.00157,23.01045017,22.62379654,23.39710381,All
AGO,Bipolar disorder,43,0.21,0.00162,23.4562684,23.05666675,23.85587004,All
